dataset,dimension,bucket,count,mae,rmse,p75,p95
1/8,gap_size,1-2,6461,21.987459535526757,31.609322688934892,31.10741497425176,66.42979627769198
1/8,gap_size,3-4,14552,41.705729005262924,55.93723182349226,58.70806560227329,112.85381468439444
1/8,gap_size,5-7,1071534,85.14743562580851,113.76521752516742,117.59893555966839,230.69627989135148
1/8,turn_angle,invalid,257895,74.19709607977562,104.21392675996037,103.15463001021675,208.46248308386149
1/8,turn_angle,sharp(>90),18633,130.18480499714283,171.94945383834806,182.26433685314734,352.44708909438555
1/8,turn_angle,straight(<30),732551,83.39599592434107,109.7530850337243,115.42884604390731,223.06769906879435
1/8,turn_angle,turn(30-90),83468,111.83592820040329,144.56622719069856,154.49601981256782,292.4995486901366
1/8,position,end(70-100%),322956,80.04153806145374,108.71365241691487,110.24395267827241,222.72616782811627
1/8,position,middle(30-70%),440479,85.1501526940443,114.67297841770294,117.56401326597978,232.02848536545318
1/8,position,start(0-30%),329112,86.9934428271043,114.45282302111832,120.5639081090908,231.85436242414224
1/8,traj_length,101-150,222157,78.52279395132987,106.28212505364607,109.0219907968181,216.4360507935722
1/8,traj_length,151-240,45467,73.3203989141141,100.4682397933925,102.6886565358524,210.03409332221543
1/8,traj_length,50-100,824923,86.32234537906584,115.22293001944192,119.07152858608055,233.5231520891097
1/8,speed_var,high,371466,108.98955846726211,139.69440115968095,151.36603058927304,272.73387442335803
1/8,speed_var,low,360541,66.02029470546125,90.44823244367959,91.16911543376283,182.9778749874606
1/8,speed_var,mid,360540,76.82475351252853,101.60165669574421,105.73072609405732,205.96769049628395
1/16,gap_size,1-4,11945,35.73928594281858,50.157811081554186,50.47682293149247,102.51784141347976
1/16,gap_size,5-8,27162,72.81610187649105,98.44299130044838,99.80154848881065,196.23856893508395
1/16,gap_size,9-15,1131125,150.39638646534073,203.56966732262953,206.94564852329717,417.1809335533588
1/16,turn_angle,invalid,276214,126.22882836912991,172.6804349616465,175.39673014766115,353.394107066475
1/16,turn_angle,sharp(>90),19817,206.67558190149342,279.7463069894575,287.00239505861646,599.3902091847409
1/16,turn_angle,straight(<30),784890,147.6002780402231,199.4286009473922,203.54220173667676,409.5102829523046
1/16,turn_angle,turn(30-90),89311,198.2959269707124,262.7154270512721,277.15480238435464,536.855663738809
1/16,position,end(70-100%),346317,134.73910069736735,188.03656887318337,184.11331233271926,392.79671901485045
1/16,position,middle(30-70%),472233,151.0047455403385,204.68032545568587,208.06165148250471,418.91439763595776
1/16,position,start(0-30%),351682,155.1116754153011,207.47905759809024,213.97841180604053,422.969286619774
1/16,traj_length,101-150,237950,136.95247290576523,186.87193654184503,190.0263405133999,387.1935954963521
1/16,traj_length,151-240,48715,128.26812115918537,176.7996410818574,180.230454736615,365.3150147497088
1/16,traj_length,50-100,883567,151.30196908685838,205.56143519374447,207.65177755859338,422.2296530796276
1/16,speed_var,high,397879,171.5612927563758,227.68531883212634,237.49749474114145,462.06714393691595
1/16,speed_var,low,386177,127.82499490448699,176.14501778555535,175.73745237810405,362.9518382013131
1/16,speed_var,mid,386176,142.15834415530907,194.1697156193698,195.1255366007909,400.2177284393467
