dataset,dimension,bucket,count,mae,rmse,p75,p95
1/8,gap_size,1-2,6461,21.987459535526757,31.609322688934892,31.10741497425176,66.42979627769198
1/8,gap_size,3-4,14552,42.921989134621946,58.05702032231884,59.80969947269309,115.8846547911721
1/8,gap_size,5-7,1071534,85.01685691669648,112.81229727981794,117.54880505921561,226.58265385400014
1/8,turn_angle,invalid,257895,73.68316213599113,103.78550963914314,102.29541511580524,207.85815841447737
1/8,turn_angle,sharp(>90),18633,127.68277647441548,166.53626799079217,176.055313654847,333.09291257490554
1/8,turn_angle,straight(<30),732551,83.32606124224635,109.2396212288251,115.02546457705652,220.61111674406754
1/8,turn_angle,turn(30-90),83468,113.13189197229457,140.85795366266476,153.80082919481694,272.3259547395653
1/8,position,end(70-100%),322956,80.14754110277218,108.08989351766104,110.55370530879381,219.463642213337
1/8,position,middle(30-70%),440479,84.87382682535782,113.60517486034344,117.49856373389156,227.79010760050295
1/8,position,start(0-30%),329112,86.88788883640774,113.4288708800689,120.4420225176621,227.86107733140963
1/8,traj_length,101-150,222157,78.42422098662644,105.69430030422645,109.09802919682811,214.21295821658092
1/8,traj_length,151-240,45467,72.88416037112563,99.81766445950784,102.23397087981536,207.0352846278228
1/8,traj_length,50-100,824923,86.22477581544163,114.19662087978041,118.98214557617123,229.32441045331953
1/8,speed_var,high,371466,108.79321208195515,138.44132461843054,150.50224182062138,267.5282017552372
1/8,speed_var,low,360541,65.8517393120915,89.85910794454833,91.19762126397524,181.12407583217484
1/8,speed_var,mid,360540,76.85661302148216,100.77832075461143,105.89691850843958,202.39132449582502
1/16,gap_size,1-4,11945,36.54368500225372,51.725660624267874,51.280821924386274,104.29619556013174
1/16,gap_size,5-8,27162,72.83887783816158,98.00280118925791,99.74229019439161,194.8617518490639
1/16,gap_size,9-15,1131125,148.9727931802408,198.78665173554805,204.4535449141918,403.9546929049226
1/16,turn_angle,invalid,276214,125.11312816420975,169.9137970297064,174.12794945595482,345.354427477544
1/16,turn_angle,sharp(>90),19817,207.02321461778564,276.55610003102385,287.23349150558454,581.6735439199927
1/16,turn_angle,straight(<30),784890,146.05166660870054,194.62731404090323,200.26654349810423,396.7638451547407
1/16,turn_angle,turn(30-90),89311,197.36365477779114,254.15216652067974,269.3339178303553,506.5004450026209
1/16,position,end(70-100%),346317,133.32468879382725,183.16306669690562,182.6055647967485,377.6744938227256
1/16,position,middle(30-70%),472233,149.45764282355492,199.6103746155284,205.6860834633308,405.94079068735704
1/16,position,start(0-30%),351682,154.03227151427794,203.4461883211166,211.16447441990164,410.89212858947747
1/16,traj_length,101-150,237950,136.03943949086366,183.76337678226648,188.46354995841463,377.7942338253182
1/16,traj_length,151-240,48715,127.66863644280279,174.7836326257528,179.4951108540784,359.3650988987634
1/16,traj_length,50-100,883567,149.77002576152097,200.35140615954924,204.98170876329797,407.8035174796754
1/16,speed_var,high,397879,169.51079720531675,222.0723693166425,232.93824920928085,446.52578934675563
1/16,speed_var,low,386177,126.99359923260052,172.62862690145414,174.9701717122115,352.71297129207477
1/16,speed_var,mid,386176,140.959098833407,189.44990522423072,193.17967216247794,386.92767706658697
