dataset,dimension,bucket,count,mae,rmse,p75,p95
1/8,gap_size,1-2,6461,21.987459535526757,31.609322688934892,31.10741497425176,66.42979627769198
1/8,gap_size,3-4,14552,42.54475250075323,57.75829122481771,58.964490069991434,115.2061410096463
1/8,gap_size,5-7,1071534,84.28396056962526,112.36420532292333,116.47698697016858,226.08961695713862
1/8,turn_angle,invalid,257895,73.44122249891478,103.53033889040752,101.82607633077058,207.5407268981919
1/8,turn_angle,sharp(>90),18633,127.0196032385974,165.91301428851867,174.78262063986358,332.0292818320545
1/8,turn_angle,straight(<30),732551,82.48587523502178,108.83849594114899,114.0901691701153,220.40470482981266
1/8,turn_angle,turn(30-90),83468,111.92685683938736,139.70344143556045,151.4705677579674,271.2255361774754
1/8,position,end(70-100%),322956,79.46079883925404,107.68583715551001,109.48708705573176,218.86319954456974
1/8,position,middle(30-70%),440479,84.13801922918094,113.18031941820001,116.42792511822695,227.41101029501593
1/8,position,start(0-30%),329112,86.14371185943486,112.91844739413716,119.24471099403794,227.0491452791321
1/8,traj_length,101-150,222157,77.72282544792097,105.24036319589888,108.17371084088451,213.50777124966004
1/8,traj_length,151-240,45467,72.19323594271384,99.36724569852097,101.18781553232247,206.19877502912166
1/8,traj_length,50-100,824923,85.4930969651976,113.75379271491168,117.92272990520686,228.77968987529735
1/8,speed_var,high,371466,108.06032311818244,137.93183232968835,149.41727464110392,266.6392411277509
1/8,speed_var,low,360541,65.27573800070107,89.51729968106562,90.4034296201001,180.4042474947187
1/8,speed_var,mid,360540,75.99430237292209,100.30646295463183,104.6625511845538,201.95675026232615
1/16,gap_size,1-4,11945,36.18882253508167,51.39487032519954,50.82140067002578,103.07946026254584
1/16,gap_size,5-8,27162,72.20671008254504,97.61605190036703,98.47209731261714,195.01612990874546
1/16,gap_size,9-15,1131125,148.2100779903112,198.3908039909202,203.58996641466146,403.4465227073623
1/16,turn_angle,invalid,276214,124.7472771610442,169.70676567088773,173.55700083367358,345.48554426685797
1/16,turn_angle,sharp(>90),19817,205.86811618164174,275.4886511114948,284.64130169142965,578.8435842143089
1/16,turn_angle,straight(<30),784890,145.30887906979046,194.3654649725034,199.62621837259968,396.7094776959965
1/16,turn_angle,turn(30-90),89311,195.37973649398484,252.6220440114634,265.8156773568835,506.15232702539635
1/16,position,end(70-100%),346317,132.57754304046009,182.80344949062112,181.6875801900665,377.67101836399024
1/16,position,middle(30-70%),472233,148.7185843693702,199.23181379515708,205.00860854761177,405.5478383280669
1/16,position,start(0-30%),351682,153.24639414468342,203.00249870101513,209.96778846334155,410.41922346515986
1/16,traj_length,101-150,237950,135.37010068580622,183.46324222130102,187.6961692967387,377.64165513979117
1/16,traj_length,151-240,48715,127.01133699779672,174.39472966796336,179.06912279739794,358.5070650062838
1/16,traj_length,50-100,883567,148.98587868401503,199.9344795171023,204.07747551720132,407.4793193634754
1/16,speed_var,high,397879,168.718591413006,221.6152756184186,231.93058988292327,446.28460287306336
1/16,speed_var,low,386177,126.35486323124275,172.3095694006847,174.11530549053873,352.5744060987111
1/16,speed_var,mid,386176,140.12458609641027,189.05922216676194,192.17173348278448,386.4721152633571
