dataset,dimension,bucket,count,mae,rmse,p75,p95
1/8,gap_size,1-2,6461,23.68329451827956,34.31226051965,33.97252372187592,72.25070604008133
1/8,gap_size,3-4,14552,44.85395452514491,60.55449471048726,62.634233736492725,120.92350571159568
1/8,gap_size,5-7,1071534,82.33140637257857,109.85489354227943,114.10307032568734,221.17330658277803
1/8,turn_angle,invalid,257895,72.39511055362532,102.59204722921314,99.91175430641712,205.24762357683056
1/8,turn_angle,sharp(>90),18633,122.83249859579914,160.5036013616907,170.02741037544973,319.50331971836124
1/8,turn_angle,straight(<30),732551,80.98377511818244,106.77753447627569,112.38971129619563,216.44727742570342
1/8,turn_angle,turn(30-90),83468,104.74449224858294,131.61229918078837,142.81411179187936,255.27688070110295
1/8,position,end(70-100%),322956,77.51193760587812,104.92478746265157,107.0894689848597,212.64891330356232
1/8,position,middle(30-70%),440479,81.69144338914273,110.02530817178362,113.12600393544125,221.4293308622326
1/8,position,start(0-30%),329112,85.1087869604175,111.67701136444818,118.19586360540397,224.81383545293653
1/8,traj_length,101-150,222157,75.8678846447228,102.8045993846952,105.77673176308448,208.92981859006045
1/8,traj_length,151-240,45467,69.92534531293533,96.26471444779554,98.05523787301465,199.32694514262835
1/8,traj_length,50-100,824923,83.63538946520609,111.32279151011966,115.62175232805151,223.87957634933227
1/8,speed_var,high,371466,105.6621769463926,135.1797543096006,146.49069141351782,261.7760100461543
1/8,speed_var,low,360541,63.909744822683884,87.59917261807995,88.65257136815086,176.93101769639426
1/8,speed_var,mid,360540,74.15167298630709,97.64637905513452,102.58627147044253,196.97044129723122
1/16,gap_size,1-4,11945,38.539413774052065,54.121763976308564,54.31250570203008,109.35147538489746
1/16,gap_size,5-8,27162,73.76914432985008,99.1609894187517,101.16090435551976,196.50146150232055
1/16,gap_size,9-15,1131125,145.20706914574598,194.79675864213897,199.88999224847436,396.94744422697374
1/16,turn_angle,invalid,276214,122.14732455256487,166.91482353813674,169.316322770647,340.40158114775824
1/16,turn_angle,sharp(>90),19817,199.67301128453735,267.4646983715315,275.41531906800714,560.2763242998985
1/16,turn_angle,straight(<30),784890,142.97164945495788,191.4784054921006,197.20959065168472,391.4183058585672
1/16,turn_angle,turn(30-90),89311,188.09192343620165,244.36555907773678,256.53334090153805,492.0090872557299
1/16,position,end(70-100%),346317,129.4333789570264,178.2834682514544,177.63787300190015,368.33060664694716
1/16,position,middle(30-70%),472233,144.38263019269428,193.72998505362645,199.72855206369084,394.3288789549844
1/16,position,start(0-30%),351682,152.70669178193148,202.99872498212207,209.4618729334331,412.8226180579023
1/16,traj_length,101-150,237950,132.45310825535574,179.99558717548499,184.2410169850214,370.50659477387126
1/16,traj_length,151-240,48715,123.76919963885274,170.4837693133058,174.5055021324249,352.4958599269713
1/16,traj_length,50-100,883567,146.18561265136853,196.44783305690694,200.66542071089373,400.8844758229016
1/16,speed_var,high,397879,165.83970313456322,218.0948624202974,228.4206585695613,440.26932563196624
1/16,speed_var,low,386177,123.47658169173921,168.8214219379498,170.24896024000606,346.5520076053151
1/16,speed_var,mid,386176,137.35567656160066,185.52449038715412,189.21362661452707,379.72261523065396
