dataset,dimension,bucket,count,mae,rmse,p75,p95
1/8,gap_size,1-2,6461,23.68329451827956,34.31226051965,33.97252372187592,72.25070604008133
1/8,gap_size,3-4,14552,44.980151214336544,60.677073314948835,62.81316772465429,121.00930587615113
1/8,gap_size,5-7,1071534,82.52639670646356,110.0282626162365,114.31051796648042,221.50218558664199
1/8,turn_angle,invalid,257895,72.75810000864796,102.82391885100198,100.19369668244181,205.47403466894895
1/8,turn_angle,sharp(>90),18633,123.18708198958709,160.7973714814156,170.36261066362854,319.746063048732
1/8,turn_angle,straight(<30),732551,81.13236199020308,106.92977220306477,112.54635701983432,216.73958414824682
1/8,turn_angle,turn(30-90),83468,104.7649504731136,131.7573557576298,143.13190936818913,255.87642298847058
1/8,position,end(70-100%),322956,77.7077106889534,105.10848865607475,107.33688438304108,212.93699685772214
1/8,position,middle(30-70%),440479,81.91051826035016,110.20712974020849,113.30896658465858,221.70994351673818
1/8,position,start(0-30%),329112,85.26390501943087,111.82608237544561,118.49232494027996,224.86632054750817
1/8,traj_length,101-150,222157,76.12341603112041,103.01004001934307,106.04374565534103,209.13707545905814
1/8,traj_length,151-240,45467,70.22705577059664,96.48859520224288,98.35661932955566,199.66829523982594
1/8,traj_length,50-100,824923,83.80545289059708,111.4844283838992,115.80189503014418,224.08809239760797
1/8,speed_var,high,371466,105.77835331382776,135.31210372816915,146.6397911506836,262.1408432401261
1/8,speed_var,low,360541,64.17494690524038,87.81199947279363,88.96777116355261,177.34355983260747
1/8,speed_var,mid,360540,74.3513828440138,97.84934793452453,102.92404007515154,197.21394797199912
1/16,gap_size,1-4,11945,38.64808621516121,54.24582953051493,54.407529327533034,109.44137274547859
1/16,gap_size,5-8,27162,74.02185148424452,99.4263462490431,101.62793414133674,197.4846039337729
1/16,gap_size,9-15,1131125,145.32159896875703,194.91706572677938,200.06151174912733,397.27613369822984
1/16,turn_angle,invalid,276214,122.35061344142943,167.05145143418594,169.5245001225399,340.62406100638594
1/16,turn_angle,sharp(>90),19817,199.76837183770553,267.5397295241278,276.0703328812731,560.4550397436375
1/16,turn_angle,straight(<30),784890,143.06914159163216,191.5972128506031,197.33172753429523,391.65383619486784
1/16,turn_angle,turn(30-90),89311,188.12717183454993,244.49162656654659,256.7400871513113,492.43695742655433
1/16,position,end(70-100%),346317,129.5612607227911,178.4143199748009,177.70921675224773,368.4899687838451
1/16,position,middle(30-70%),472233,144.51008960545968,193.84348179470842,199.89526871885204,394.7006622224095
1/16,position,start(0-30%),351682,152.80118481753564,203.12256972925036,209.599889999165,413.0797329667572
1/16,traj_length,101-150,237950,132.63374788357504,180.13205712295485,184.3863497033449,370.69613267945016
1/16,traj_length,151-240,48715,123.97337532514163,170.63566188683626,174.71315083903576,352.1302883814622
1/16,traj_length,50-100,883567,146.2815646866955,196.56419388651767,200.88572807344218,401.30513248211344
1/16,speed_var,high,397879,165.92213528558435,218.2109835461826,228.56698456991865,440.6181339800451
1/16,speed_var,low,386177,123.63418872451477,168.93758078427007,170.39409584225152,346.67131715719347
1/16,speed_var,mid,386176,137.469737086278,185.65924263498061,189.30057258683638,379.7354835203513
