group,bucket,count,share,mae,rmse,mape,bias,p50_abs_error,p90_abs_error,p95_abs_error
travel_time_bucket,10-20m,10391,0.6266433482089012,14.04081879902098,20.408808315739886,1.4835619035049998,0.6195125743618421,10.596381098039046,27.979603990071382,37.55852295359347
travel_time_bucket,20-30m,4867,0.29351103606320106,18.607474988720266,27.2874229248643,1.3059914982277658,-1.4940117518103766,13.735783686000559,37.2700654341325,49.49224189287577
travel_time_bucket,30-45m,1210,0.07297069111084309,25.361736139598865,43.56607231444235,1.208586018957407,-3.9535362361630058,16.799074776984412,51.86208617661494,71.14421929963501
travel_time_bucket,45m+,114,0.0068749246170546376,40.271958312768405,67.57758745785587,1.3542716416844611,-8.543299594019684,28.00345771003117,71.72990453440275,89.79664745979453
departure_hour_bucket,00-06,298,0.01797129417440598,14.54654442808637,20.341344472747995,1.5254488104627413,-0.1772201177569287,10.893175970464654,27.546344574129403,38.750661559481486
departure_hour_bucket,06-10,2509,0.15130864793149199,15.309961053245868,22.940071469073516,1.3649149308352326,0.15856433183315718,11.348370235248126,31.39022489652208,40.66108737913782
departure_hour_bucket,10-17,7900,0.4764202146906284,16.36888751487601,25.800049524667852,1.3778416455695617,-0.25805973644385954,11.863179980674829,32.97173318294022,44.981769600948496
departure_hour_bucket,17-20,3064,0.18477867567241588,17.65505080490091,26.245311497274717,1.4381870512428294,-1.7008637968655405,12.520786751006085,36.432508694941895,50.52624610315178
departure_hour_bucket,20-24,2811,0.16952116753105778,16.215789160938566,26.38185647330038,1.5005403697240915,0.111482476941301,11.765438514020389,32.592104594176135,43.90424199527695
path_length_bucket,12-16km,225,0.013568930165239416,28.517682285782733,53.33881379131935,1.4339631986352162,-0.5735196155671596,17.684615496548304,54.31041038943148,68.67544731609524
path_length_bucket,16-22km,5,0.0003015317814497648,27.51095356423489,29.9444271557179,1.2448285704902815,6.012833318009916,19.47335068502025,42.187188941397245,42.75209961857972
path_length_bucket,8-12km,3070,0.1851405138101556,20.27761003693671,31.284313801025085,1.3517669856049497,-0.6757104698377185,14.591076623271078,41.55154054963467,56.048291661007966
path_length_bucket,<8km,13282,0.8009890242431552,15.278808672773737,23.153019792325125,1.4237266904783101,-0.33265367761092646,11.325513210539668,30.784178713857475,41.6294274433081
n_points_bucket,121-160,881,0.05312989989144856,25.300768302226825,45.37206231737213,1.1837162160793766,-1.63492097028323,16.65410764297758,50.11340492732029,67.4640222156795
n_points_bucket,161-200,172,0.01037269328187191,29.735312110207794,41.08050442299462,1.084618882872203,0.9610320840244486,21.190492698401385,59.08762362099542,71.85060923536214
n_points_bucket,81-120,4458,0.2688457363406103,18.721586649030407,28.19877492325572,1.2571267686581347,-0.8330917271786386,13.921155373160673,36.96054162601641,48.21473208701985
n_points_bucket,<=80,11037,0.6656012543722108,14.470956810943603,21.410669359182823,1.4968692504286165,-0.1438160806726028,10.698280578188815,28.968392107191356,39.645464293204846
n_points_bucket,>200,34,0.002050416113858401,34.064668421149975,42.32059042106676,1.003027217850863,-0.45371108321982695,28.53392676447652,69.0844409875814,85.8152312093206
detour_bucket,1.15-1.30,4306,0.25967917018453746,15.445343478888859,22.555677440193936,1.3573075398376528,0.47337540642088133,11.634067130143364,31.32784451698882,42.42844085001366
detour_bucket,1.30-1.50,6408,0.3864431311060186,16.15294760483602,24.653114302335663,1.3978202876684627,-0.5988951490952882,11.848533465853961,33.05309097550551,43.73487378814682
detour_bucket,<1.15,1847,0.11138584006754312,14.928750572858227,22.4461843198451,1.4143687836620136,-0.6643805546002601,10.70392687261392,30.866416446508243,41.68678754081265
detour_bucket,>=1.50,4021,0.24249185864190084,18.440759340299678,30.552035954979324,1.485846952982169,-0.8866546967524768,12.965377235833785,37.08490796105423,51.062334889547856
