rank,traj_id,travel_time_true,travel_time_pred,abs_error,ape_percent,hour,n_points,path_len_km,direct_dist_km,detour_ratio
1,8932,2810.0,2307.4593614417854,502.5406385582146,17.88400848961618,11.0,146.0,13.142383858735682,0.36625074539357955,35.8835689047203
2,10844,2634.0,2171.7196328504797,462.2803671495203,17.55050748479576,21.0,139.0,9.965767136502782,6.963607981308211,1.4311212180888122
3,12464,2279.0,1854.0491407772474,424.95085922275257,18.64637381407427,20.0,120.0,6.698723708821339,1.8248774737106737,3.6707799867792064
4,14496,1907.0,2312.737785795585,405.73778579558484,21.276234179107753,16.0,150.0,6.0010930618610505,3.3367799089713532,1.7984683513966133
5,13069,2080.0,1761.8427479464542,318.1572520535458,15.296021733343549,15.0,112.0,6.756622226577824,4.940300505574999,1.3676540969427171
6,12893,1455.0,1137.142523603582,317.85747639641795,21.845874666420478,15.0,73.0,4.457442208714688,2.8159345870957204,1.582935281643731
7,10766,2014.0,1713.9880351990166,300.0119648009834,14.896323972243463,16.0,111.0,9.964630580764329,6.484207485084628,1.5367538135825516
8,13780,1794.0,2074.3089645363625,280.3089645363625,15.6248029284483,16.0,134.0,8.413488382546117,6.712944956207367,1.2533230106059905
9,6832,2511.0,2232.263996804819,278.7360031951812,11.100597498812473,14.0,143.0,14.550651175817938,6.714900736934123,2.1669197722886144
10,955,1743.0,1471.5403327865586,271.45966721344143,15.57427809600926,21.0,94.0,10.596948044924597,7.560394036119213,1.4016396492429464
11,3776,1104.0,837.1054906572019,266.8945093427981,24.1752272955433,16.0,54.0,5.797027259622879,4.042212003243048,1.4341225188020694
12,15619,1525.0,1789.9174854550838,264.9174854550838,17.3716383904973,9.0,115.0,8.558626162196333,4.500393542744164,1.9017506093428482
13,13652,2551.0,2295.033990802529,255.96600919747107,10.033947832123523,17.0,148.0,8.200394905873063,4.765368533823037,1.7208312111999997
14,7423,1855.0,1600.243954154456,254.7560458455439,13.733479560406678,10.0,104.0,10.205942719735793,8.355233669152263,1.2215029673456523
15,1813,2672.0,2418.0218405510905,253.97815944890954,9.505170638057992,14.0,155.0,12.250872960661335,6.631306135224467,1.8474298593434864
16,15723,1601.0,1362.4880375826378,238.51196241736216,14.897686596962034,14.0,88.0,3.9467418391211915,2.7416817776058506,1.4395331622212002
17,9974,1185.0,959.3058977458955,225.69410225410445,19.04591580203413,15.0,61.0,3.677767922961953,2.429857205875152,1.5135736841117566
18,1422,1010.0,794.6858155767878,215.31418442321217,21.318236081506157,8.0,52.0,4.269904106824137,3.86781965102275,1.1039563609681402
19,12472,904.0,1118.18925302706,214.18925302705998,23.693501441046458,9.0,73.0,3.6440630141358796,2.041314922716909,1.7851547419668972
20,6808,2778.0,2570.265027591133,207.73497240886718,7.47786077785699,9.0,163.0,11.705262582018658,7.754340000771359,1.5095111358096607
21,14211,733.0,940.3820674798113,207.38206747981133,28.292232944039746,21.0,60.0,5.192809621631138,4.891326661720584,1.0616362350668485
22,11067,2033.0,1836.3501961806417,196.64980381935834,9.672887546451468,17.0,117.0,8.811273724467577,6.421685991119783,1.3721122049026115
23,14631,1107.0,911.1536669650945,195.84633303490546,17.69162900044313,19.0,60.0,3.6086213243070007,2.5596849647130573,1.4097911946408335
24,15219,1746.0,1557.829028082297,188.1709719177029,10.777260705481266,18.0,101.0,5.273957663127948,4.462118294867838,1.1819403508853314
25,12151,2235.0,2047.8534195693837,187.14658043061627,8.373448788841891,15.0,128.0,10.165955210223641,8.052381013972617,1.2624781654747232
26,8305,1147.0,964.5144213195185,182.48557868048147,15.909815054967869,8.0,62.0,3.465944889782627,2.3587492038836277,1.4693994953240583
27,14837,1684.0,1502.262086082196,181.737913917804,10.79203764357506,14.0,96.0,6.476779847575308,6.0811793598603145,1.0650532510726802
28,8732,2819.0,2644.6441657903015,174.35583420969851,6.185024271362132,12.0,169.0,12.431089237319572,8.844053273399508,1.4055873311741447
29,14620,1162.0,990.6230951754598,171.37690482454025,14.74844275598453,18.0,65.0,3.505884946045562,2.5207730659478043,1.3907975269195276
30,4760,1358.0,1188.0204951426042,169.9795048573958,12.51690021041206,23.0,77.0,8.285388446586973,6.401294591317094,1.2943301278190693
