group,bucket,count,share,mae,rmse,mape,bias,p50_abs_error,p90_abs_error,p95_abs_error
travel_time_bucket,10-20m,10391,0.6266433482089012,14.057028147911934,20.409397934280772,1.4851028070121985,0.6035630910881341,10.659803385915211,28.136565884461334,37.62318169571762
travel_time_bucket,20-30m,4867,0.29351103606320106,18.621532603310072,27.321622150270432,1.3071623358579731,-1.4875202285319524,13.810401303429217,37.191331809002875,49.954107690443145
travel_time_bucket,30-45m,1210,0.07297069111084309,25.354935243414435,43.724507652690654,1.2076163038017975,-3.9784594809444846,16.88642493282464,51.93239327534661,69.02466562174617
travel_time_bucket,45m+,114,0.0068749246170546376,40.0000700661573,67.85965815858665,1.3456945254240529,-9.086758354587877,28.509357643937847,73.15901472944375,93.08662729626005
departure_hour_bucket,00-06,298,0.01797129417440598,14.849537564741393,20.889444501359726,1.5535396829213572,-0.24160760995024147,11.3625444012348,29.000060454688246,41.0761640030777
departure_hour_bucket,06-10,2509,0.15130864793149199,15.363354298708636,22.985851951950707,1.3709554543375848,0.10224513812118638,11.410465466076857,31.120401442997174,40.6027450898425
departure_hour_bucket,10-17,7900,0.4764202146906284,16.35449678109875,25.8120602465277,1.3771401315500664,-0.2559139560010244,11.834245458692408,32.87639248666333,45.29951241189126
departure_hour_bucket,17-20,3064,0.18477867567241588,17.68302858244315,26.33027459272122,1.4391771839266225,-1.7306258529430147,12.637568240099426,36.16176512808093,51.059410784562516
departure_hour_bucket,20-24,2811,0.16952116753105778,16.2162632587327,26.38074619554324,1.5000210845047195,0.11450038595181393,11.776642562788311,32.74159132844886,44.370219071126485
path_length_bucket,12-16km,225,0.013568930165239416,28.29297302114928,53.449746307281345,1.4207514784368984,-0.7490647189095914,17.506516881270727,52.09197099271541,64.84852274961149
path_length_bucket,16-22km,5,0.0003015317814497648,28.260793448116374,30.8629235734504,1.2553084838669517,6.0365799964419695,21.005087955645195,43.78984893921479,45.62611320624851
path_length_bucket,8-12km,3070,0.1851405138101556,20.30605084196631,31.38159314305764,1.3541464410251338,-0.6496559230889639,14.546446194908981,42.22939193098594,56.44494727213278
path_length_bucket,<8km,13282,0.8009890242431552,15.290638406527682,23.167273493582734,1.4248691507881517,-0.3527452907301979,11.315946551160948,30.80244809702559,41.628638797056254
n_points_bucket,121-160,881,0.05312989989144856,25.24957437299501,45.56434289918687,1.1811096282310496,-1.7284384774795685,16.55664401339709,49.9667337092651,67.71234335004146
n_points_bucket,161-200,172,0.01037269328187191,29.95872473189743,41.276761566206055,1.093748084217266,0.8300851138507697,22.436697022604903,60.2877090354738,72.52699343269664
n_points_bucket,81-120,4458,0.2688457363406103,18.72483182517374,28.213626167463318,1.25752286773043,-0.8018048978335383,14.020818690883516,37.05782520203209,48.311388406500704
n_points_bucket,<=80,11037,0.6656012543722108,14.489740512060319,21.428464653601853,1.4985968213229772,-0.16464577063708222,10.766552439617499,29.07679492472402,39.60213110511221
n_points_bucket,>200,34,0.002050416113858401,33.55047978256495,42.35377900373998,0.9869101630042787,-1.3630009703969979,28.74302212757334,71.54096707781545,85.28623596644988
detour_bucket,1.15-1.30,4306,0.25967917018453746,15.464307131245942,22.622682140049886,1.3582892022901538,0.46918926468794087,11.681700308603354,31.53624049560881,42.80942429435697
detour_bucket,1.30-1.50,6408,0.3864431311060186,16.16305168657856,24.6688104596293,1.3987712600230546,-0.5921717568224163,11.773617746077036,32.839691117519976,44.340503852388046
detour_bucket,<1.15,1847,0.11138584006754312,14.947788650657305,22.448151435932907,1.4169691118673298,-0.7178528499200245,10.66707230688553,30.87185071816114,42.78909368777195
detour_bucket,>=1.50,4021,0.24249185864190084,18.44475278409151,30.601934381550315,1.4869499554526069,-0.9245912557473264,12.823705883692469,37.37075950759663,51.23658256575652
