rank,traj_id,travel_time_true,travel_time_pred,abs_error,ape_percent,hour,n_points,path_len_km,direct_dist_km,detour_ratio
1,8932,2810.0,2312.054741548697,497.94525845130283,17.720471831007217,11.0,146.0,13.142383858735682,0.36625074539357955,35.8835689047203
2,10844,2634.0,2172.5732154480293,461.42678455197074,17.518101159907772,21.0,139.0,9.965767136502782,6.963607981308211,1.4311212180888122
3,12464,2279.0,1854.205294829222,424.7947051707779,18.639521946940672,20.0,120.0,6.698723708821339,1.8248774737106737,3.6707799867792064
4,14496,1907.0,2316.0104285151865,409.0104285151865,21.44784627767103,16.0,150.0,6.0010930618610505,3.3367799089713532,1.7984683513966133
5,12893,1455.0,1137.3215710358668,317.6784289641332,21.833569000971355,15.0,73.0,4.457442208714688,2.8159345870957204,1.582935281643731
6,13069,2080.0,1764.3582231791765,315.64177682082345,15.17508542407805,15.0,112.0,6.756622226577824,4.940300505574999,1.3676540969427171
7,10766,2014.0,1714.4390728605676,299.56092713943235,14.87392885498671,16.0,111.0,9.964630580764329,6.484207485084628,1.5367538135825516
8,13780,1794.0,2073.978048789062,279.9780487890621,15.606357234618844,16.0,134.0,8.413488382546117,6.712944956207367,1.2533230106059905
9,6832,2511.0,2233.0275314555715,277.97246854442847,11.070189906189903,14.0,143.0,14.550651175817938,6.714900736934123,2.1669197722886144
10,15619,1525.0,1791.8298772863677,266.8298772863677,17.49704113353231,9.0,115.0,8.558626162196333,4.500393542744164,1.9017506093428482
11,3776,1104.0,838.1031117017336,265.8968882982664,24.084863070495143,16.0,54.0,5.797027259622879,4.042212003243048,1.4341225188020694
12,955,1743.0,1477.6746479748222,265.32535202517784,15.22233803931026,21.0,94.0,10.596948044924597,7.560394036119213,1.4016396492429464
13,13652,2551.0,2295.371015242057,255.62898475794282,10.020736368402305,17.0,148.0,8.200394905873063,4.765368533823037,1.7208312111999997
14,7423,1855.0,1601.96894986376,253.03105013624008,13.640487877964425,10.0,104.0,10.205942719735793,8.355233669152263,1.2215029673456523
15,1813,2672.0,2419.450811876767,252.54918812323285,9.451691172276679,14.0,155.0,12.250872960661335,6.631306135224467,1.8474298593434864
16,15723,1601.0,1363.8861076089065,237.1138923910935,14.810361798319393,14.0,88.0,3.9467418391211915,2.7416817776058506,1.4395331622212002
17,9974,1185.0,961.8789969294586,223.1210030705414,18.828776630425434,15.0,61.0,3.677767922961953,2.429857205875152,1.5135736841117566
18,12472,904.0,1118.8303631274835,214.83036312748345,23.76442069994286,9.0,73.0,3.6440630141358796,2.041314922716909,1.7851547419668972
19,1422,1010.0,795.7926887452386,214.2073112547614,21.208644678689247,8.0,52.0,4.269904106824137,3.86781965102275,1.1039563609681402
20,6808,2778.0,2564.1775423302906,213.82245766970937,7.696992716692201,9.0,163.0,11.705262582018658,7.754340000771359,1.5095111358096607
21,14211,733.0,936.2178681614504,203.21786816145038,27.7241293535403,21.0,60.0,5.192809621631138,4.891326661720584,1.0616362350668485
22,14631,1107.0,911.5313725410169,195.46862745898306,17.657509255554025,19.0,60.0,3.6086213243070007,2.5596849647130573,1.4097911946408335
23,11067,2033.0,1844.1825735821994,188.81742641780056,9.287625500137755,17.0,117.0,8.811273724467577,6.421685991119783,1.3721122049026115
24,15219,1746.0,1558.72582766804,187.27417233196002,10.72589761351432,18.0,101.0,5.273957663127948,4.462118294867838,1.1819403508853314
25,14837,1684.0,1499.0224961024694,184.9775038975306,10.984412345459061,14.0,96.0,6.476779847575308,6.0811793598603145,1.0650532510726802
26,8305,1147.0,963.7088107130842,183.29118928691582,15.98005137636581,8.0,62.0,3.465944889782627,2.3587492038836277,1.4693994953240583
27,12151,2235.0,2053.2866111821218,181.71338881787824,8.130352967242874,15.0,128.0,10.165955210223641,8.052381013972617,1.2624781654747232
28,8732,2819.0,2645.6651835446664,173.33481645533357,6.148805124346703,12.0,169.0,12.431089237319572,8.844053273399508,1.4055873311741447
29,14620,1162.0,990.4254166883011,171.57458331169892,14.765454673984415,18.0,65.0,3.505884946045562,2.5207730659478043,1.3907975269195276
30,4760,1358.0,1189.0135260789166,168.98647392108342,12.443775693746938,23.0,77.0,8.285388446586973,6.401294591317094,1.2943301278190693
